category_id,dt,review_cnt,avg_score,low_score_rate
CATE_0,2012-10-21,1,2.0,1.0
CATE_1,2002-02-08,1,4.0,0.0
CATE_1,2002-08-21,1,4.0,0.0
CATE_1,2002-12-13,1,4.0,0.0
CATE_1,2003-06-11,1,4.0,0.0
CATE_1,2003-08-16,1,4.0,0.0
CATE_1,2004-03-13,1,4.0,0.0
CATE_1,2004-04-12,1,4.0,0.0
CATE_1,2004-05-13,1,4.0,0.0
CATE_1,2004-07-15,1,4.0,0.0
CATE_1,2004-07-23,1,4.0,0.0
CATE_1,2004-08-06,1,4.0,0.0
CATE_1,2005-04-18,1,4.0,0.0
CATE_1,2005-04-22,1,4.0,0.0
CATE_1,2005-05-15,1,4.0,0.0
CATE_1,2005-06-16,1,4.0,0.0
CATE_1,2005-07-07,1,4.0,0.0
CATE_1,2005-10-24,1,4.0,0.0
CATE_1,2005-11-26,1,4.0,0.0
CATE_1,2005-12-06,1,4.0,0.0
CATE_1,2006-01-19,1,4.0,0.0
CATE_1,2006-01-22,1,4.0,0.0
CATE_1,2006-02-08,1,4.0,0.0
CATE_1,2006-02-13,1,4.0,0.0
CATE_1,2006-06-30,1,4.0,0.0
CATE_1,2006-07-14,1,4.0,0.0
CATE_1,2006-07-20,1,4.0,0.0
CATE_1,2006-07-22,1,4.0,0.0
CATE_1,2006-08-05,1,4.0,0.0
CATE_1,2006-08-20,1,4.0,0.0
CATE_1,2006-08-23,1,4.0,0.0
CATE_1,2006-09-01,1,5.0,0.0
CATE_1,2006-09-11,1,5.0,0.0
CATE_1,2006-09-15,1,4.0,0.0
CATE_1,2006-09-18,1,5.0,0.0
CATE_1,2006-09-24,1,5.0,0.0
CATE_1,2006-09-27,1,5.0,0.0
CATE_1,2006-10-05,1,4.0,0.0
CATE_1,2006-10-10,1,5.0,0.0
CATE_1,2006-10-16,1,2.0,1.0
CATE_1,2006-10-27,1,5.0,0.0
CATE_1,2006-10-29,1,4.0,0.0
CATE_1,2006-11-07,1,4.0,0.0
CATE_1,2006-11-14,1,1.0,1.0
CATE_1,2006-12-13,1,4.0,0.0
CATE_1,2007-01-06,1,5.0,0.0
CATE_1,2007-01-08,1,1.0,1.0
CATE_1,2007-01-25,1,5.0,0.0
CATE_1,2007-02-13,1,5.0,0.0
CATE_1,2007-02-20,1,5.0,0.0
CATE_1,2007-04-06,1,4.0,0.0
CATE_1,2007-04-09,1,4.0,0.0
